UnitBox	Unit	Box	Latitude	Longitude	LatUTM	LongUTM
4_62	4	62	42.46154	-76.36524	387754	4701925
4_63	4	63	42.46188	-76.36537	387744	4701963
4_64	4	64	42.4622	-76.36557	387728	4701999
4_65	4	65	42.46252	-76.36581	387709	4702035
4_66	4	66	42.46299	-76.36599	387695	4702087
4_67	4	67	42.46331	-76.36609	387687	4702123
4_68	4	68	42.46369	-76.3662	387679	4702165
4_69	4	69	42.46406	-76.3664	387663	4702207
4_70	4	70	42.46447	-76.36651	387655	4702252
4_71	4	71	42.46488	-76.36667	387642	4702298
4_72	4	72	42.46526	-76.36677	387635	4702341
4_74	4	74	42.46603	-76.36706	387612	4702426
4_75	4	75	42.46645	-76.36704	387615	4702473
4_76	4	76	42.46681	-76.36706	387614	4702513
4_77	4	77	42.46713	-76.36703	387617	4702549
4_78	4	78	42.46725	-76.36704	387616	4702562
4_79	4	79	42.4676	-76.36704	387617	4702601
4_80	4	80	42.46753	-76.36708	387613	4702593
4_81	4	81	42.46739	-76.36708	387613	4702577
4_83	4	83	42.46694	-76.36706	387614	4702527
4_82	4	82	42.46717	-76.36704	387616	4702553
4_84	4	84	42.46664	-76.36699	387619	4702494
4_85	4	85	42.46622	-76.36702	387616	4702447
4_86	4	86	42.46581	-76.36691	387624	4702402
4_87	4	87	42.46542	-76.36679	387633	4702358
4_88	4	88	42.46506	-76.36668	387642	4702318
4_89	4	89	42.46466	-76.36655	387652	4702274
4_90	4	90	42.46425	-76.36642	387662	4702228
4_91	4	91	42.46385	-76.36621	387678	4702183
4_92	4	92	42.46352	-76.3661	387687	4702146
4_93	4	93	42.46318	-76.36598	387696	4702109
4_94A	4	94A	42.46244	-76.36565	387722	4702026
4_94	4	94	42.46284	-76.36587	387704	4702071
4_101	4	101	42.46268	-76.36611	387684	4702053
4_102	4	102	42.46262	-76.36633	387666	4702047
4_103	4	103	42.46257	-76.36659	387645	4702042
4_104	4	104	42.46262	-76.36684	387624	4702047
4_105	4	105	42.46248	-76.36712	387601	4702032
4_106	4	106	42.46238	-76.36757	387564	4702022
4_95	4	95	42.46198	-76.36541	387741	4701975
4_96	4	96	42.46171	-76.36524	387754	4701944
4_97	4	97	42.46139	-76.36506	387768	4701909
4_98	4	98	42.46106	-76.36492	387779	4701872
T_1	T	1	42.44079	-76.42894	382478	4699708
T_2	T	2	42.44066	-76.42891	382480	4699693
T_3	T	3	42.44052	-76.42887	382483	4699678
T_4	T	4	42.4404	-76.42887	382483	4699664
T_	T		42.44016	-76.42881	382487	4699637
T_	T		42.43997	-76.42882	382486	4699616
T_	T		42.43985	-76.42879	382488	4699603
T_	T		42.43957	-76.4288	382487	4699572
T_	T		42.43949	-76.42885	382483	4699563
T_0	T	0	42.43927	-76.42882	382485	4699539
T_1	T	1	42.43919	-76.42884	382483	4699530
T_2	T	2	42.4389	-76.42881	382485	4699498
T_3	T	3	42.43868	-76.42888	382479	4699473
T_4	T	4	42.43854	-76.4288	382485	4699458
T_16	T	16	42.43884	-76.429	382469	4699491
T_15	T	15	42.43837	-76.42878	382486	4699439
T_17	T	17	42.43902	-76.42904	382466	4699511
T_18	T	18	42.43913	-76.42904	382466	4699523
T_19	T	19	42.4393	-76.42907	382464	4699542
T_20	T	20	42.4396	-76.42916	382457	4699576
T_21	T	21	42.43975	-76.4291	382463	4699592
T_22	T	22	42.43997	-76.42902	382470	4699617
T_23	T	23	42.44002	-76.42908	382465	4699622
T_24	T	24	42.44023	-76.42905	382468	4699646
T_25	T	25	42.44054	-76.42921	382455	4699680
T_26	T	26	42.44076	-76.42915	382460	4699705
T_28	T	28	42.44087	-76.42945	382436	4699717
T_27	T	27	42.44087	-76.42914	382461	4699717
T_29	T	29	42.44074	-76.42936	382443	4699703
T_30	T	30	42.44053	-76.42942	382438	4699679
T_31	T	31	42.44028	-76.42935	382443	4699652
T_32	T	32	42.44016	-76.42937	382441	4699638
T_33	T	33	42.43994	-76.42937	382441	4699614
T_34	T	34	42.43969	-76.4294	382438	4699586
T_35	T	35	42.43958	-76.42932	382444	4699574
T_36	T	36	42.43942	-76.42925	382450	4699556
T_37	T	37	42.43916	-76.42932	382443	4699527
T_38	T	38	42.43901	-76.42924	382450	4699510
T_39	T	39	42.43884	-76.42926	382448	4699491
T_40	T	40	42.43865	-76.4293	382444	4699470
T_41	T	41	42.4385	-76.42924	382449	4699454
T_42	T	42	42.43829	-76.42922	382450	4699430
T_43	T	43	42.43956	-76.42953	382427	4699572
T_44	T	44	42.43973	-76.42961	382421	4699591
T_45	T	45	42.43987	-76.42958	382423	4699606
T_46	T	46	42.44006	-76.42963	382420	4699627
T_47	T	47	42.44023	-76.42959	382423	4699646
T_48	T	48	42.44042	-76.42962	382421	4699667
T_49	T	49	42.44053	-76.42964	382420	4699680
T_50	T	50	42.44082	-76.42968	382417	4699712
T_51	T	51	42.44047	-76.42989	382399	4699673
T_52	T	52	42.44051	-76.4301	382382	4699678
T_53	T	53	42.44025	-76.43012	382380	4699649
T_54	T	54	42.44027	-76.42991	382397	4699651
T_55	T	55	42.44012	-76.42987	382400	4699634
T_56	T	56	42.43985	-76.42984	382402	4699604
T_57	T	57	42.43974	-76.42979	382406	4699592
T_58	T	58	42.43954	-76.42981	382404	4699570
T_59	T	59	42.43939	-76.42983	382402	4699553
T_60	T	60	42.43988	-76.43161	382256	4699610
T_61	T	61	42.43985	-76.43175	382245	4699607
T_62	T	62	42.43999	-76.43191	382232	4699623
T_63	T	63	42.44011	-76.43214	382213	4699637
T_64	T	64	42.44021	-76.43227	382203	4699648
T_65	T	65	42.44034	-76.43253	382182	4699663
T_66	T	66	42.44039	-76.43279	382160	4699669
T_67	T	67	42.44054	-76.43293	382149	4699685
T_68	T	68	42.44049	-76.43225	382205	4699679
T_69	T	69	42.44036	-76.43216	382212	4699664
T_70	T	70	42.44022	-76.43199	382226	4699649
T_71	T	71	42.44016	-76.43173	382247	4699641
T_72	T	72	42.44005	-76.43161	382257	4699629
T_73	T	73	42.43996	-76.43152	382264	4699619
T_74	T	74	42.44027	-76.43158	382260	4699653
T_75	T	75	42.44039	-76.43183	382239	4699667
T_76	T	76	42.44053	-76.43204	382222	4699683
T_77	T	77	42.44067	-76.43227	382204	4699699
T_78	T	78	42.44074	-76.43213	382215	4699706
T_79	T	79	42.4407	-76.43202	382224	4699702
T_80	T	80	42.44048	-76.43157	382261	4699677
T_81	T	81	42.44042	-76.43153	382264	4699670
T_82	T	82	42.44063	-76.43143	382273	4699693
T_83	T	83	42.44051	-76.43123	382289	4699680
T_84	T	84	42.44072	-76.43128	382285	4699703
T_85	T	85	42.44071	-76.43161	382258	4699702
T_86	T	86	42.4407	-76.43171	382250	4699701
T_87	T	87	42.44081	-76.43207	382220	4699714
T_88	T	88	42.44082	-76.43182	382241	4699715
T_89	T	89	42.44078	-76.43156	382262	4699710
T_90	T	90	42.44081	-76.43138	382277	4699713
T_91	T	91	42.44087	-76.4313	382284	4699720
T_92	T	92	42.44088	-76.43102	382307	4699720
T_93	T	93	42.44082	-76.43079	382326	4699713
T_94	T	94	42.44107	-76.43094	382314	4699741
T_95	T	95	42.44104	-76.4312	382292	4699738
T_96	T	96	42.44103	-76.43142	382274	4699738
T_97	T	97	42.44101	-76.43159	382260	4699736
T_98	T	98	42.44096	-76.43189	382235	4699731
T_99	T	99	42.44112	-76.43349	382104	4699751
T_100	T	100	42.44111	-76.43327	382122	4699749
T_101	T	101	42.4411	-76.43308	382138	4699748
T_102	T	102	42.44111	-76.4328	382161	4699748
T_103	T	103	42.44112	-76.43262	382176	4699749
T_104	T	104	42.44111	-76.43234	382199	4699748
T_105	T	105	42.44115	-76.43208	382220	4699752
T_106	T	106	42.44113	-76.43191	382234	4699749
T_107	T	107	42.44119	-76.43161	382259	4699756
T_108	T	108	42.4412	-76.43138	382278	4699756
T_109	T	109	42.44122	-76.43118	382294	4699758
T_110	T	110	42.44121	-76.43095	382313	4699757
T_111	T	111	42.44124	-76.43072	382332	4699760
T_112	T	112	42.44141	-76.43096	382313	4699779
T_113	T	113	42.44135	-76.43119	382294	4699773
T_114	T	114	42.44137	-76.43143	382274	4699775
T_115	T	115	42.44138	-76.4317	382252	4699777
T_116	T	116	42.44136	-76.43193	382233	4699775
T_117	T	117	42.44135	-76.43216	382214	4699774
T_118	T	118	42.44134	-76.43239	382195	4699773
T_119	T	119	42.44135	-76.4326	382178	4699775
T_120	T	120	42.44138	-76.43287	382156	4699779
T_121	T	121	42.44132	-76.43309	382137	4699772
T_122	T	122	42.44132	-76.43333	382118	4699773
T_123	T	123	42.44131	-76.43358	382097	4699772
T_124	T	124	42.44127	-76.43385	382075	4699768
T_125	T	125	42.44128	-76.43408	382056	4699769
T_126	T	126	42.44128	-76.4343	382038	4699769
T_127	T	127	42.44148	-76.43425	382042	4699792
T_128	T	128	42.44149	-76.43403	382060	4699792
T_129	T	129	42.44147	-76.43386	382074	4699790
T_130	T	130	42.4415	-76.43359	382097	4699793
T_131	T	131	42.44151	-76.4334	382112	4699794
T_132	T	132	42.44152	-76.43311	382136	4699794
T_133	T	133	42.44151	-76.43289	382154	4699793
T_134	T	134	42.44152	-76.43265	382174	4699794
T_135	T	135	42.44152	-76.43242	382193	4699793
T_136	T	136	42.44153	-76.43221	382210	4699794
T_137	T	137	42.44152	-76.43191	382235	4699793
T_138	T	138	42.44155	-76.43171	382251	4699796
T_139	T	139	42.44155	-76.43151	382268	4699796
T_140	T	140	42.44143	-76.43126	382288	4699782
4_18	4	18	42.45965	-76.37275	387133	4701726
4_19	4	19	42.45948	-76.37273	387134	4701707
4_20	4	20	42.45931	-76.37272	387135	4701688
4_17	4	17	42.4599	-76.37279	387130	4701753
4_16	4	16	42.4601	-76.37276	387133	4701776
4_15	4	15	42.46029	-76.37276	387133	4701797
4_14	4	14	42.46049	-76.37279	387131	4701819
4_13	4	13	42.46073	-76.37276	387134	4701845
4_12	4	12	42.46092	-76.37279	387132	4701867
4_11	4	11	42.46109	-76.37281	387131	4701886
4_10	4	10	42.46128	-76.37286	387127	4701907
4_9	4	9	42.46154	-76.3728	387132	4701935
4_8	4	8	42.46175	-76.37283	387130	4701959
4_7	4	7	42.46196	-76.37284	387130	4701982
4_6	4	6	42.46217	-76.37285	387129	4702005
4_5	4	5	42.46241	-76.37283	387131	4702032
4_4	4	4	42.46257	-76.37286	387129	4702050
4_3	4	3	42.46278	-76.3729	387126	4702073
4_2	4	2	42.46304	-76.37288	387128	4702102
4_1	4	1	42.46322	-76.37286	387130	4702122
4_1A	4	1A	42.46326	-76.37285	387131	4702127
4_21	4	21	42.45906	-76.37272	387134	4701660
2_1	2	1			382096	4706578
2_2	2	2			382080	4706577
2_3	2	3			382059	4706577
2_4	2	4			382038	4706576
2_5	2	5			382020	4706576
2_6	2	6			382003	4706575
2_7	2	7			381983	4706575
2_8	2	8			381964	4706575
2_9	2	9			381946	4706574
2_10	2	10			381928	4706574
2_11	2	11			381907	4706574
2_12	2	12			381888	4706574
2_13	2	13			381870	4706574
2_14	2	14			381851	4706573
2_15	2	15			381832	4706573
2_16	2	16			381815	4706573
2_17	2	17			381794	4706573
2_18	2	18			381778	4706573
2_19	2	19			381757	4706573
2_20	2	20			381735	4706572
2_21	2	21			381736	4706534
2_22	2	22			381758	4706534
2_23	2	23			381779	4706534
2_24	2	24			381799	4706535
2_25	2	25			381817	4706535
2_26	2	26			381836	4706536
2_27	2	27			381855	4706536
2_28	2	28			381874	4706536
2_29	2	29			381893	4706536
2_30	2	30			381912	4706537
2_31	2	31			381932	4706537
2_32	2	32			381950	4706538
2_33	2	33			381968	4706538
2_34	2	34			381987	4706538
2_35	2	35			382003	4706538
2_36	2	36			382023	4706538
2_37	2	37			382042	4706538
2_38	2	38			382062	4706539
2_39	2	39			382081	4706540
2_40	2	40			382099	4706540
2_41	2	41			382095	4706497
2_42	2	42			382078	4706498
2_43	2	43			382060	4706497
2_44	2	44			382041	4706497
2_45	2	45			382022	4706496
2_46	2	46			382004	4706496
2_47	2	47			381982	4706496
2_48	2	48			381966	4706495
2_49	2	49			381945	4706495
2_50	2	50			381930	4706495
2_51	2	51			381909	4706495
2_52	2	52			381891	4706495
2_53	2	53			381870	4706494
2_54	2	54			381852	4706494
2_55	2	55			381832	4706493
2_56	2	56			381815	4706493
2_57	2	57			381795	4706493
2_58	2	58			381778	4706492
2_59	2	59			381757	4706493
2_60	2	60			381739	4706492
2_61	2	61			381716	4706500
2_62	2	62			381715	4706524
2_63	2	63			381716	4706539
2_64	2	64			381716	4706561
2_65	2	65			381715	4706577
2_66	2	66			381715	4706600
2_67	2	67			381715	4706614
2_68	2	68			381714	4706637
2_69	2	69			381715	4706653
2_70	2	70			381713	4706677
2_71	2	71			381714	4706705
2_72	2	72			381740	4706705
2_73	2	73			381754	4706683
2_74	2	74			381776	4706684
2_75	2	75			381796	4706685
2_76	2	76			381814	4706685
2_77	2	77			381835	4706685
2_78	2	78			381854	4706685
2_79	2	79			381874	4706686
2_80	2	80			381894	4706686
2_81	2	81			381914	4706686
2_82	2	82			381934	4706686
2_83	2	83			381954	4706686
2_84	2	84			381974	4706686
2_85	2	85			381995	4706686
2_86	2	86			382016	4706687
2_87	2	87			382036	4706687
2_88	2	88			382057	4706687
2_88A	2	88A			382077	4706687
2_89	2	89			382097	4706666
2_90	2	90			382075	4706665
2_91	2	91			382058	4706665
2_92	2	92			382039	4706665
2_93	2	93			382020	4706664
2_94	2	94			382001	4706664
2_95	2	95			381984	4706664
2_96	2	96			381964	4706664
2_97	2	97			381945	4706664
2_98	2	98			381924	4706664
2_99	2	99			381908	4706663
2_100	2	100			381886	4706663
2_101	2	101			381869	4706663
2_102	2	102			381850	4706663
2_103	2	103			381832	4706663
2_104	2	104			381811	4706662
2_105	2	105			381794	4706662
2_106	2	106			381775	4706661
2_107	2	107			381755	4706661
2_108	2	108			381736	4706660
2_109	2	109			381738	4706622
2_110	2	110			381755	4706623
2_111	2	111			381774	4706623
2_112	2	112			381794	4706623
2_113	2	113			381811	4706623
2_114	2	114			381831	4706624
2_115	2	115			381848	4706624
2_116	2	116			381868	4706624
2_117	2	117			381887	4706624
2_118	2	118			381906	4706623
2_119	2	119			381924	4706624
2_120	2	120			381943	4706624
2_121	2	121			381962	4706625
2_122	2	122			381982	4706625
2_123	2	123			382002	4706625
2_124	2	124			382020	4706625
2_125	2	125			382039	4706626
2_126	2	126			382058	4706627
2_127	2	127			382079	4706627
2_128	2	128			382101	4706626
